1,2,3,4,5,6,7,Target
13152.0,12717.0,9862.0,9978.0,13237.0,10333.0,11559.0,11883.285714285714
9561.0,12456.0,13812.0,12824.0,12194.0,11055.0,11281.0,11910.714285714286
12357.0,11489.0,13130.0,11466.0,9242.0,12736.0,12955.0,11974.57142857143
12625.0,12730.0,9235.0,13524.0,9401.0,12998.0,13309.0,11314.857142857143
14137.0,12564.0,11195.0,9130.0,11957.0,11546.0,8675.0,12233.285714285714
12806.0,13666.0,10120.0,13583.0,12718.0,13300.0,9440.0,11985.142857142857
12153.0,12887.0,13441.0,11233.0,11740.0,10049.0,12393.0,10697.857142857143
11848.0,11279.0,10937.0,8442.0,10701.0,12064.0,9614.0,11605.0
11104.0,13955.0,12514.0,9719.0,9090.0,12175.0,12678.0,10748.857142857143
9624.0,13588.0,10099.0,10834.0,8964.0,10914.0,11219.0,11491.142857142857
10833.0,12596.0,11561.0,11700.0,8119.0,14008.0,11621.0,12303.857142857143
12709.0,10364.0,10859.0,10976.0,13461.0,14453.0,13305.0,11927.285714285714
12924.0,12285.0,11322.0,9298.0,12683.0,12220.0,12759.0,11771.0
14126.0,9422.0,12413.0,9580.0,13608.0,12885.0,10363.0,11682.714285714286
9380.0,13381.0,10990.0,9941.0,11974.0,12599.0,13514.0,11479.857142857143
9676.0,13213.0,10081.0,11650.0,12239.0,12503.0,10997.0,10766.857142857143
7546.0,11260.0,13063.0,9613.0,12280.0,8206.0,13400.0,13109.42857142857
13193.0,14024.0,12353.0,11759.0,13666.0,12919.0,13852.0,11297.142857142857
9365.0,12527.0,9920.0,8706.0,12721.0,12627.0,13214.0,11464.0
11556.0,8623.0,11084.0,13602.0,12508.0,10434.0,12441.0,11304.714285714286
12008.0,12716.0,9788.0,9453.0,10692.0,12565.0,11911.0,12709.142857142857
11914.0,12365.0,12911.0,13159.0,12129.0,12387.0,14099.0,11812.142857142857
12416.0,8950.0,10278.0,12043.0,11544.0,14238.0,13216.0,10957.142857142857
12634.0,10431.0,12330.0,11264.0,7795.0,12261.0,9985.0,12341.285714285714
13659.0,14080.0,12998.0,12142.0,9335.0,10536.0,13639.0,11226.285714285714
10962.0,12682.0,14536.0,8826.0,9467.0,10243.0,11868.0,11511.0
10323.0,12544.0,12152.0,9224.0,12712.0,13183.0,10439.0,11818.285714285714
11755.0,13599.0,9792.0,11885.0,10964.0,14006.0,10727.0,10649.714285714286
8884.0,12676.0,9292.0,9480.0,10725.0,9852.0,13639.0,12209.714285714286
12161.0,10296.0,11569.0,13557.0,12878.0,11671.0,13336.0,10975.0
9218.0,10550.0,12985.0,12337.0,10136.0,8348.0,13251.0,11603.142857142857
13591.0,7110.0,13903.0,8938.0,12032.0,12183.0,13465.0,12125.57142857143
10491.0,13653.0,9444.0,13096.0,11641.0,11614.0,14940.0,12145.42857142857
9913.0,11021.0,13087.0,14506.0,12572.0,12687.0,11232.0,11618.57142857143
12097.0,13534.0,9941.0,12023.0,13351.0,11719.0,8665.0,11344.142857142857
10740.0,12216.0,12793.0,13105.0,10127.0,10985.0,9443.0,11764.42857142857
10228.0,13648.0,11524.0,10272.0,9707.0,13533.0,13439.0,11215.57142857143
11986.0,9377.0,8397.0,13000.0,13438.0,9802.0,12509.0,11757.0
9519.0,10850.0,11850.0,12629.0,12069.0,11269.0,14113.0,11041.857142857143
12651.0,8736.0,12721.0,10410.0,8876.0,11329.0,12570.0,11830.285714285714
13343.0,13238.0,13495.0,11995.0,10317.0,11278.0,9146.0,11414.857142857143
10293.0,9556.0,12559.0,13889.0,10402.0,12956.0,10249.0,11339.0
9280.0,12033.0,13295.0,11074.0,11835.0,9249.0,12607.0,11862.857142857143
11843.0,9668.0,12717.0,11084.0,13623.0,12604.0,11501.0,11958.57142857143
11385.0,13690.0,12617.0,9342.0,13002.0,11180.0,12494.0,11851.42857142857
13329.0,8897.0,13933.0,7718.0,13946.0,11721.0,13416.0,10313.0
8696.0,10088.0,9730.0,11019.0,13406.0,10590.0,8662.0,11384.857142857143
12663.0,10538.0,12015.0,13743.0,10175.0,9436.0,11124.0,11794.142857142857
12954.0,12751.0,8552.0,13478.0,13321.0,8583.0,12920.0,11435.857142857143
13166.0,13184.0,12843.0,9948.0,9710.0,12722.0,8478.0,11000.57142857143
9799.0,12464.0,12289.0,9285.0,10020.0,13181.0,9966.0,12093.857142857143
9309.0,13964.0,12589.0,12028.0,9874.0,13415.0,13478.0,12030.714285714286
11281.0,12553.0,11649.0,13406.0,12891.0,9923.0,12512.0,11837.714285714286
13793.0,9870.0,13557.0,11618.0,12884.0,12116.0,9026.0,11781.57142857143
10085.0,13429.0,12242.0,11014.0,12659.0,11832.0,11210.0,10788.0
10729.0,11418.0,9455.0,11224.0,11751.0,9567.0,11372.0,10430.42857142857
11832.0,10419.0,8602.0,8854.0,9725.0,10231.0,13350.0,11759.857142857143
12449.0,11544.0,11977.0,13216.0,10242.0,10712.0,12179.0,11541.57142857143
13720.0,12563.0,12752.0,10320.0,10258.0,7998.0,13180.0,10604.285714285714
9754.0,14313.0,7449.0,9366.0,10803.0,12071.0,10474.0,10944.0
12339.0,12883.0,8252.0,10883.0,9128.0,12325.0,10798.0,11810.0
8752.0,11424.0,12207.0,13695.0,13324.0,11716.0,11552.0,11699.285714285714
13138.0,12316.0,12416.0,11968.0,11577.0,11401.0,9079.0,11871.142857142857
10007.0,12851.0,10821.0,12799.0,9219.0,13666.0,13735.0,12107.714285714286
12799.0,11943.0,13774.0,9773.0,10660.0,12778.0,13027.0,11244.285714285714
11765.0,9839.0,13690.0,10709.0,10707.0,9713.0,12287.0,10575.57142857143
11282.0,12943.0,12111.0,8867.0,10201.0,8671.0,9954.0,11105.42857142857
10831.0,12212.0,9941.0,12603.0,10173.0,10800.0,11178.0,12049.285714285714
11349.0,11671.0,13946.0,13183.0,10874.0,11193.0,12129.0,11470.857142857143
12777.0,13755.0,11085.0,14686.0,9918.0,8976.0,9099.0,11609.42857142857
13675.0,13507.0,9781.0,11481.0,13732.0,10003.0,9087.0,11187.142857142857
10004.0,11954.0,10715.0,10220.0,12950.0,12127.0,10340.0,12079.0
13094.0,9706.0,10975.0,13235.0,12221.0,12147.0,13175.0,11485.714285714286
10659.0,9321.0,13400.0,12558.0,11704.0,11811.0,10947.0,11070.42857142857
10677.0,11433.0,12384.0,11294.0,8043.0,12950.0,10712.0,11056.0
11930.0,13707.0,10365.0,8622.0,12250.0,9775.0,10743.0,11844.42857142857
9681.0,12901.0,12008.0,9585.0,12282.0,13011.0,13443.0,11999.0
12573.0,10019.0,11890.0,13453.0,12892.0,13191.0,9975.0,12036.0
14009.0,13220.0,9382.0,12514.0,11602.0,13637.0,9888.0,11852.57142857143
13427.0,9236.0,12530.0,11955.0,11943.0,10684.0,13193.0,10423.714285714286
8773.0,9122.0,11392.0,10802.0,13457.0,10366.0,9054.0,11065.285714285714
12085.0,11592.0,8069.0,11173.0,13403.0,11627.0,9508.0,11896.57142857143
11690.0,11182.0,12145.0,13762.0,12558.0,11816.0,10123.0,10902.857142857143
12842.0,9959.0,9320.0,13442.0,10012.0,9252.0,11493.0,12582.42857142857
12879.0,13158.0,11435.0,13063.0,13388.0,11380.0,12774.0,11652.42857142857
12348.0,13777.0,7887.0,11880.0,10157.0,12509.0,13009.0,11473.57142857143
10993.0,11281.0,10348.0,13078.0,10601.0,12685.0,11329.0,11584.42857142857
13221.0,10687.0,11654.0,9990.0,11480.0,12435.0,11624.0,11225.714285714286
11872.0,13403.0,10791.0,12020.0,9090.0,9232.0,12172.0,11728.42857142857
9555.0,11604.0,13754.0,12277.0,9185.0,12784.0,12940.0,11809.285714285714
9439.0,13006.0,12671.0,11652.0,10345.0,11911.0,13641.0,11609.57142857143
10810.0,13518.0,11883.0,13129.0,11456.0,9590.0,10881.0,11806.57142857143
10006.0,12374.0,9613.0,12213.0,12861.0,12429.0,13150.0,10754.42857142857
